Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified,Year_Group,Topic
To establish online shoppers' markets and rules for dynamic CRM systems: An empirical case study in Taiwan,Chiang W.-Y.,2012,10.1108/10662241211271572,"Purpose: The purpose of this paper is to establish customers' markets and rules of dynamic customer relationship management (CRM) systems for online retailers. Design/methodology/approach: This research proposes a procedure to discover customers' markets and rules, which adopts the recency, frequency, monetary value (RFM) variables, transaction records, and socioeconomic data of the online shoppers to be the research variables. The research methods aim at the supervised apriori algorithm, C5.0 decision tree algorithm, and RFM model. Findings: This research discovered eight RFM markets and six rules of online retailers. Practical implications: The proposed framework and research results can help retailer managers to retain and expand high value markets via their dynamic CRM and POS systems. Originality/value: This research uses data mining technologies to extract high value markets and rules for marketing plans. The research variables are easy to obtain via retailers' systems. The found customer values, RFM markets, shopping association rules, and marketing decision rules can be discovered via the framework of this research. © Emerald Group Publishing Limited.",Apriori algorithm; C5.0 decision tree; Consumer behaviour; Customer relationship management; Customer values; Internet; RFM model; Taiwan,,scopus-data mining,17,Thinking AI,"['dynamic customer relationship management', 'RFM variables', 'customer markets', 'rules', 'data mining', 'marketing plans']","The abstract discusses the establishment of customer markets and rules for dynamic CRM systems, which involves analyzing customer transaction records and socioeconomic data. The research employs algorithms to analyze these datasets and provide insights for marketing strategies, aligning with the market analysis and targeting focus of Thinking AI.",0%,20%,80%,0%,0%,"[2011, 2013)",Customer relationship management
Marketing optimization in retail banking,Sundararajan R.; Bhaskar T.; Sarkar A.; Dasaratha S.; Bal D.; Marasanapalle J.K.; Zmudzka B.; Bak K.,2011,10.1287/inte.1110.0597,"In this paper, we address the problem of making optimal product offers to customers of a retail bank by using techniques including Markov chains, genetic algorithms, mathematical programming, and design of experiments. Our challenges were large problem size, uncertainty about estimates of customer responses to product offers, and practical issues in training and implementation. The solution had an estimated financial impact of around $20 million; it also provided other intangible benefits, including structured decision making, the capability of performing what-if analysis, and portability to other markets and portfolios. © 2011 INFORMS.",Customer relationship management; Fuzzy mathematical programming; Genetic algorithm; Marketing optimization; Markov chains; Mathematical programming; Retail banking,,scopus-genetic algorithm,9,Thinking AI,"['optimal product offers', 'customer responses', 'what-if analysis', 'financial impact', 'decision making']","The abstract describes the use of various techniques to optimize product offers to customers, which aligns with market analysis and targeting in Thinking AI. The focus on estimating customer responses and the impact of the solution suggests a strategic analysis approach typical of Thinking AI applications.",0%,0%,100%,0%,0%,"[2011, 2013)",Customer relationship management
A reference model for customer-centric data mining with support vector machines,"Lessmann, S; Voss, S",2009,10.1016/j.ejor.2008.12.017,"Supervised classification is an important part of corporate data mining to support decision making in customer-centric planning tasks. The paper proposes a hierarchical reference model for support vector machine based classification within this discipline. The approach balances the conflicting goals of transparent yet accurate models and compares favourably to alternative classifiers in a large-scale empirical evaluation in real-world customer relationship management applications. Recent advances in support vector machine oriented research are incorporated to approach feature, instance and model selection in a unified framework. (C) 2008 Elsevier B.V. All rights reserved.",Marketing; Data mining; Customer relationship management; Support vector machines,ELSEVIER,wos-data mining,63,Thinking AI,"['supervised classification', 'customer-centric planning', 'support vector machine', 'decision making', 'customer relationship management', 'feature selection', 'instance selection', 'model selection']","The abstract discusses a hierarchical reference model for supervised classification using support vector machines, which focuses on decision making in customer-centric planning tasks. This aligns with the 'Thinking AI' category, particularly in market analysis and targeting, as it emphasizes accurate models for customer relationship management applications.",0%,0%,100%,0%,0%,"[2009, 2011)",Customer relationship management
Knowledge management and data mining for marketing,Shaw M.J.; Subramaniam C.; Tan G.W.; Welge M.E.,2001,10.1016/S0167-9236(00)00123-8,"Due to the proliferation of information systems and technology, businesses increasingly have the capability to accumulate huge amounts of customer data in large databases. However, much of the useful marketing insights into customer characteristics and their purchase patterns are largely hidden and untapped. Current emphasis on customer relationship management makes the marketing function an ideal application area to greatly benefit from the use of data mining tools for decision support. A systematic methodology that uses data mining and knowledge management techniques is proposed to manage the marketing knowledge and support marketing decisions. This methodology can be the basis for enhancing customer relationship management. © 2001 Elsevier Science B.V.",Customer relationship management; Data mining; Knowledge management; Marketing decision support,,scopus-data mining,430,Thinking AI,"['customer data', 'marketing insights', 'data mining', 'customer relationship management', 'marketing decisions']","The abstract discusses the use of data mining tools and methodologies to extract marketing insights from customer data, emphasizing decision support in marketing and enhancing customer relationship management. This aligns with the focus on market analysis and targeting found in the Thinking AI category.",10%,15%,75%,0%,0%,"[2001, 2003)",Customer relationship management
Identification of influencers - Measuring influence in customer networks,Kiss C.; Bichler M.,2008,10.1016/j.dss.2008.06.007,"Viral marketing refers to marketing techniques that use social networks to produce increases in brand awareness through self-replicating viral diffusion of messages, analogous to the spread of pathological and computer viruses. The idea has successfully been used by marketers to reach a large number of customers rapidly. If data about the customer network is available, centrality measures provide a structural measure that can be used in decision support systems to select influencers and spread viral marketing campaigns in a customer network. Usage stimulation and churn management are examples of DSS applications, where centrality of customers does play a role. The literature on network theory describes a large number of such centrality measures. A critical question is which of these measures is best to select an initial set of customers for a marketing campaign, in order to achieve a maximum dissemination of messages. In this paper, we present the results of computational experiments based on call data from a telecom company to compare different centrality measures for the diffusion of marketing messages. We found a significant lift when using central customers in message diffusion, but also found differences in the various centrality measures depending on the underlying network topology and diffusion process. © 2008 Elsevier B.V. All rights reserved.",Centrality; Customer relationship management; Network theory; Viral marketing; Word of mouth marketing,,scopus-artificial intelligence,309,Thinking AI,"['viral marketing', 'centrality measures', 'decision support systems', 'influencers', 'customer network', 'message diffusion']","The abstract discusses the use of centrality measures in customer networks to optimize viral marketing campaigns, emphasizing analysis and decision-making in selecting influencers to maximize message dissemination. This aligns closely with the focus on market analysis and targeting in Thinking AI.",0%,0%,100%,0%,0%,"[2007, 2009)",Customer relationship management
Integrating the voice of customers through call center emails into a decision support system for churn prediction,Coussement K.; Van den Poel D.,2008,10.1016/j.im.2008.01.005,"We studied the problem of optimizing the performance of a DSS for churn prediction. In particular, we investigated the beneficial effect of adding the voice of customers through call center emails - i.e. textual information - to a churn-prediction system that only uses traditional marketing information. We found that adding unstructured, textual information into a conventional churn-prediction model resulted in a significant increase in predictive performance. From a managerial point of view, this integrated framework helps marketing-decision makers to better identify customers most prone to switch. Consequently, their customer retention campaigns can be targeted more effectively because the prediction method is better at detecting those customers who are likely to leave. © 2008 Elsevier B.V. All rights reserved.",Binary classification modeling; Call center email; Churn prediction; Customer relationship management (CRM); Data mining; Text mining; Voice of customers (VOC),,scopus-data mining,124,Thinking AI,"['churn prediction', 'customer retention', 'predictive performance', 'marketing-decision makers']","The abstract discusses optimizing a decision support system (DSS) for churn prediction by integrating unstructured textual information from customer emails. This aligns with the Thinking AI category as it involves market analysis and targeting, helping marketing-decision makers identify customers likely to switch. The focus is on improving predictive performance and effectively targeting retention campaigns, which connects with strategic analysis and marketing analytics.",0%,0%,100%,0%,0%,"[2007, 2009)",Customer relationship management
Customer targeting: A neural network approach guided by genetic algorithms,Kim Y.; Street W.N.; Russell G.J.; Menczer F.,2005,10.1287/mnsc.1040.0296,"One of the key problems in database marketing is the identification and profiling of households that are most likely to be interested in a particular product or service. Principal component analysis (PCA) of customer background information followed by logistic regression analysis of response behavior is commonly used by database marketers. In this paper, we propose a new approach that uses artificial neural networks (ANNs) guided by genetic algorithms (GAs) to target households. We show that the resulting selection rule is more accurate and more parsimonious than the PCA/logit rule when the manager has a clear decision criterion. Under vague decision criteria, the new procedure loses its advantage in interpretability, but is still more accurate than PCA/logit in targeting households. ©2005 INFORMS.",Customer relationship management; Database marketing; Genetic algorithms; Neural networks,,scopus-genetic algorithm,117,Thinking AI,"['households', 'target', 'artificial neural networks', 'genetic algorithms', 'logistic regression', 'decision criteria', 'response behavior']","The abstract discusses a novel approach using artificial neural networks and genetic algorithms to improve the targeting of households for marketing purposes. This aligns with the 'Thinking AI' category, which focuses on market analysis and targeting. The mention of decision criteria and accuracy in targeting households further emphasizes the strategic analysis aspect of marketing, making it a clear fit for this classification.",0%,0%,100%,0%,0%,"[2005, 2007)",Customer relationship management
Fostering B2B sales with customer big data analytics,"Hallikainen, H; Savimäki, E; Laukkanen, T",2020,10.1016/j.indmarman.2019.12.005,"This study focuses on the use of big data analytics in managing B2B customer relationships and examines the effects of big data analytics on customer relationship performance and sales growth using a multi-industry dataset from 417 B2B firms. The study also examines whether analytics culture within a firm moderates these effects. The study finds that the use of customer big data significantly fosters sales growth (i.e. monetary performance outcomes) and enhances the customer relationship performance (non-monetary performance outcomes). However, the latter effect is stronger for firms which have an analytics culture which supports marketing analytics, whereas the former effect remains unchanged regardless of the analytics culture. The study empirically confirms that customer big data analytics improves customer relationship performance and sales growth in B2B firms.",Big data analytics; Customer analytics; Marketing analytics; Firm performance; Customer relationship management; Big data-enhanced database marketing,ELSEVIER SCIENCE INC,wos-big data,105,Thinking AI,"['big data analytics', 'customer relationship performance', 'sales growth', 'analytics culture', 'monetary performance', 'non-monetary performance']","The abstract discusses the impact of big data analytics on customer relationship performance and sales growth, specifically in the context of B2B firms. This aligns closely with the Thinking AI category, which focuses on market analysis and strategic insights derived from analytics. The study emphasizes the role of analytics culture in moderating these effects, suggesting a strategic approach to leveraging data for competitive advantage, which is characteristic of the Thinking AI category. The mention of sales growth and performance outcomes further reinforces this classification.",0%,0%,100%,0%,0%,"[2019, 2021)",Customer relationship management
Personalized digital marketing recommender engine,"Behera, RK; Gunasekaran, A; Gupta, S; Kamboj, S; Bala, PK",2020,10.1016/j.jretconser.2019.03.026,"E-business leverages digital channels to scale its functions and services and operates by connecting and retaining customers using marketing initiatives. To increase the likelihood of a sale, the business must recommend additional items that the customers may be unaware of or may find appealing. Recommender Engine (RE) is considered to be the preferred solution in these cases for reasons that include delivering relevant items, hence improving cart value, and boosting customer engagement. The paper describes a model for delivering real-time, personalised marketing information concerning the recommended items for online and offline customers, using a blend of selling strategies: up-selling, cross-selling, best-in-class-selling, needs-satisfaction-selling and consultative-selling. The model further defines the e-marketplace by clustering items, customers and unique selling proposition (USP), and then gathering, storing, and processing transactional data, and displaying personalised marketing information to support the customer in their decision-making process, even when purchasing from large item spaces. An experimental study using a quantitative research methodology was conducted in a mid-size healthcare retailer, based out of India, to determine the tangible benefits. The model was tested with 100 online customers and, with the adoption of the proposed methodology, the results indicated growth in average monthly revenue (33.49%), Average Order Value (AOV) (32.79%) and Items per Order (IPO) (1.93%).",Personalized digital marketing; Recommender engine; Customer relationship management,ELSEVIER SCI LTD,wos-recommendation,75,Thinking AI,"['personalized marketing', 'recommender engine', 'customer engagement', 'up-selling', 'cross-selling', 'transactional data']","The abstract describes a model that utilizes a recommender engine to deliver personalized marketing information, which aligns closely with the focus on personalization and targeting in Thinking AI. The model aims to enhance customer engagement and improve sales metrics, indicating a strategic analysis of customer behavior and preferences. The experimental study also highlights the application of marketing analytics to achieve measurable growth, which further supports its classification under Thinking AI.",10%,20%,70%,0%,0%,"[2019, 2021)",Customer relationship management
A reference model for customer-centric data mining with support vector machines,"Lessmann, S; Voss, S",2009,10.1016/j.ejor.2008.12.017,"Supervised classification is an important part of corporate data mining to support decision making in customer-centric planning tasks. The paper proposes a hierarchical reference model for support vector machine based classification within this discipline. The approach balances the conflicting goals of transparent yet accurate models and compares favourably to alternative classifiers in a large-scale empirical evaluation in real-world customer relationship management applications. Recent advances in support vector machine oriented research are incorporated to approach feature, instance and model selection in a unified framework. (C) 2008 Elsevier B.V. All rights reserved.",Marketing; Data mining; Customer relationship management; Support vector machines,ELSEVIER,wos-data mining,63,Thinking AI,"['supervised classification', 'customer-centric planning', 'support vector machine', 'decision making', 'customer relationship management', 'feature selection', 'instance selection', 'model selection']","The abstract discusses a hierarchical reference model for supervised classification using support vector machines, which focuses on decision making in customer-centric planning tasks. This aligns with the 'Thinking AI' category, particularly in market analysis and targeting, as it emphasizes accurate models for customer relationship management applications.",0%,0%,100%,0%,0%,"[2009, 2011)",Customer relationship management
How has data-driven marketing evolved: Challenges and opportunities with emerging technologies,Rosário A.T.; Dias J.C.,2023,10.1016/j.jjimei.2023.100203,"This paper explores data-driven marketing, its benefits, and challenges to provide insights and a framework for business leaders and marketers to leverage in their marketing efforts. Using a systematic literature review with bibliometric analysis, we examined a sample of 98 studies indexed in SCOPUS to identify research activity on this topic until May 2023. Data-driven marketing and communications have gained popularity as companies and marketers prioritize leveraging consumer and market data to strategize and make informed decisions. Adopting and integrating various technologies into the company's systems is crucial for companies aiming to achieve a sustainable competitive advantage. By analyzing and interpreting customer data, companies can implement customer-centered marketing initiatives that enhance their experience and satisfaction with the brand, thus strengthening company-customer relationships. However, data-driven marketing faces several challenges, including consumer privacy concerns, data poisoning, information quality issues, and the need for adequate organizational changes. © 2023",Big data; Customer data; Customer relationship management; Data-driven; Marketing,Elsevier B.V.,scopus-big data,50,Thinking AI,"['data-driven marketing', 'customer data', 'market data', 'strategic decisions', 'customer-centered marketing', 'customer experience', 'sustainable competitive advantage']","The abstract emphasizes the importance of analyzing and interpreting customer data to inform marketing strategies, enhance customer experience, and strengthen company-customer relationships. This aligns with the Thinking AI category, particularly focusing on market analysis and targeting through data insights. The mention of leveraging consumer and market data to strategize decisions further supports this classification.",10%,15%,65%,5%,5%,"[2023, 2025)",Customer relationship management
Marketing segmentation through machine learning models: An approach based on customer relationship management and customer profitability accounting,Florez-Lopez R.; Ramon-Jeronimo J.M.,2009,10.1177/0894439308321592,"Customer relationship management (CRM) aims to build relations with the most profitable clients by performing customer segmentation and designing appropriate marketing tools. In addition, customer profitability accounting (CPA) recommends evaluating the CRM program through the combination of partial measures in a global costĝ€""benefit function. Several statistical techniques have been applied for market segmentations although the existence of large data sets reduces their effectiveness. As an alternative, decision trees are machine learning models that do not consider a priori hypotheses, achieve a high performance, and generate logical rules clearly understood by managers. In this article, a three-stage methodology is proposed that combines marketing feature selection, customer segmentation through univariate and oblique decision trees, and a new CPA function based on marketing, data warehousing, and opportunity costs linked to the analysis of different scenarios. This proposal is applied to a large insurance marketing data set for alternative cost and price conditions showing the superiority of univariate decision trees over statistical techniques. © 2009 Sage Publications.","Artificial intelligence; Costĝ€""benefit analysis; Customer profitability accounting; Customer relationship management; Marketing",,scopus-artificial intelligence,23,Thinking AI,"['customer segmentation', 'decision trees', 'marketing tools', 'customer profitability accounting', 'data warehousing', 'market analysis']","The abstract discusses customer relationship management (CRM) and customer profitability accounting (CPA), focusing on customer segmentation and the evaluation of marketing strategies using statistical and machine learning techniques. The emphasis on using decision trees for customer segmentation and the overall methodology for market analysis aligns closely with the 'Thinking AI' category, which focuses on market analysis and targeting.",0%,20%,80%,0%,0%,"[2009, 2011)",Customer relationship management
To establish online shoppers' markets and rules for dynamic CRM systems An empirical case study in Taiwan,"Chiang, WY",2012,10.1108/10662241211271572,"Purpose - The purpose of this paper is to establish customers' markets and rules of dynamic customer relationship management (CRM) systems for online retailers. Design/methodology/approach - This research proposes a procedure to discover customers' markets and rules, which adopts the recency, frequency, monetary value (RFM) variables, transaction records, and socioeconomic data of the online shoppers to be the research variables. The research methods aim at the supervised apriori algorithm, C5.0 decision tree algorithm, and RFM model. Findings - This research discovered eight RFM markets and six rules of online retailers. Practical implications - The proposed framework and research results can help retailer managers to retain and expand high value markets via their dynamic CRM and POS systems. Originality/value - This research uses data mining technologies to extract high value markets and rules for marketing plans. The research variables are easy to obtain via retailers' systems. The found customer values, RFM markets, shopping association rules, and marketing decision rules can be discovered via the framework of this research.",Taiwan; Consumer behaviour; Customer relationship management; Internet; Apriori algorithm; C5.0 decision tree; RFM model; Customer values,EMERALD GROUP PUBLISHING LTD,wos-data mining,19,Thinking AI,"['dynamic customer relationship management', 'RFM variables', 'transaction records', 'socioeconomic data', 'data mining technologies', 'customer markets', 'marketing plans']","The abstract discusses the establishment of customer markets and rules for dynamic CRM systems, which aligns with strategic analysis in marketing. It focuses on using data mining technologies and various algorithms to analyze customer data, identify high-value markets, and create marketing decision rules. This fits well into the 'Thinking AI' category, which emphasizes market analysis and targeting.",0%,0%,100%,0%,0%,"[2011, 2013)",Customer relationship management
An integrated model for predicting consumer's intention to write online reviews,Dixit S.; Jyoti Badgaiyan A.; Khare A.,2019,10.1016/j.jretconser.2017.10.001,"For marketers, consumers’ increasing use of online reviews in arriving at purchase decisions is a double edged sword. On one hand, it presents opportunity for manufacturers and sellers to be highlighted for their good work, but at the same time, there remains a possibility of negative review impacting goodwill and reputation. Hence, it is important for managers to identify factors that impact consumers’ intentions to write online reviews. This research delves into this aspect by trying to identify the factors that impact reviews writing intentions of consumers for restaurants. The study extends the theory of planned behaviour with additions of variables such as ego involvement, taking vengeance and helping a restaurant. For this, 252 valid responses were obtained, and structural equation modeling was used to test the proposed model. Results indicate that perceived behavioural control, subjective norms, ego involvement and taking vengeance are significant predictors of intention to write online reviews for the restaurants. © 2017 Elsevier Ltd",Consumer behaviour; E-WOM; Intentions to write online reviews; Theory of planned behaviour,Elsevier Ltd,scopus-prediction,76,Feeling AI,"['online reviews', 'consumer intentions', 'ego involvement', 'helping a restaurant', 'taking vengeance']","The abstract discusses factors that influence consumers' intentions to write online reviews, which directly relates to understanding customer emotions and motivations. The inclusion of variables such as ego involvement and helping a restaurant indicates a focus on understanding emotional needs and relational aspects of consumer behavior, thus aligning with the Feeling AI category. Additionally, the study aims to understand and meet customer emotional needs regarding their review behaviors.",60%,10%,20%,0%,10%,"[2019, 2021)",Consumer behaviour
A varietal-specific approach to investigate wine risk perception in South Africa: Recommendations for Chenin blanc,Van der Colff N.; Pentz C.; Nieuwoudt H.,2019,10.1108/IJWBR-06-2018-0023,"Purpose: This study aims to describe South African consumers’ wine risk perception on varietal level with recommendations for Chenin blanc. Design/methodology/approach: An exploratory mixed methods approach was followed where qualitative data were used to develop the questionnaire. Quantitative data were collected from 2,051 respondents using an online survey. ANOVA and Fischer least significance difference tests were used to indicate statistical significance. Findings: Significant perceived risks (PRs) associated with Chenin blanc across age and ethnic groups were functional, time and financial risks. Risk-reducing strategies (RRS) in the white wine category were favourite brands and a trusted store, while Sauvignon blanc was also described as an RRS. Recommended Chenin blanc RRS include tastings and events with food. Research limitations/implications: Measurement of PR remains challenging. This research approach can be reproduced and/or adapted to investigate other struggling varietals and/or regions-of-origin. The convenience sample limits generalisability. Practical implications: Segments were identified to develop new markets for Chenin blanc. RRS emphasise the importance of real sensory experience rather than media exposure to build knowledge and familiarity. Originality/value: This study is a pioneering endeavour in terms of using an exploratory mixed methods research approach to investigate and describe risk perception of a specific wine varietal. Recommendations, with implications for strategic marketing decisions, are made for South African Chenin blanc. © 2019, Emerald Publishing Limited.",Chenin blanc; Consumer behaviour; Consumer risk perception; Risk perception; South African white wine; Varietal perceived risk scale,Emerald Group Holdings Ltd.,scopus-recommendation,2,Feeling AI,"['risk perception', 'customer understanding', 'tastings', 'events', 'sensory experience', 'trusted store']","The abstract discusses consumer risk perception concerning Chenin blanc, which relates to understanding customer needs and wants. It emphasizes the importance of sensory experiences and interaction with the product, aligning with the objectives of Feeling AI to develop customer understanding and emotional connections. Additionally, the research recommends strategies aimed at enhancing consumer experience, indicating a focus on relationalization. The findings also highlight the need to tailor marketing efforts based on emotional factors, further solidifying its placement in the Feeling AI category.",70%,10%,20%,0%,0%,"[2019, 2021)",Consumer behaviour
Toward a model of sparkling wine purchasing preferences,Verdonk N.; Wilkinson J.; Culbert J.; Ristic R.; Pearce K.; Wilkinson K.,2017,10.1108/IJWBR-10-2015-0048,"Purpose: This paper aims to provide further insight into factors influencing Australian consumers’ purchasing preferences for sparkling wine, including champagne. Design/methodology/approach: Focus groups were conducted and thematic analysis was undertaken to identify factors influencing sparkling wine consumers’ purchasing preferences. Findings: Personal taste was found to influence choice of a sparkling wine rather than another type of beverage, and selection of a particular style and brand of sparkling wine. Country or region of origin was found to be important, often linked to the product being champagne. Brand image, reputation and symbolism were found to influence purchase decisions (sometimes linked to consumption occasion), especially for purchases of gifts. Advice, recommendations and expert reviews, and consumption occasion also were found to influence purchase decisions. Price was found to influence style and brand of sparkling wine purchased. A high price was found to be a barrier for some participants, while other participants were found to avoid sparkling wines priced below some particular level. Thematic analysis enabled development of a preliminary model of purchasing preferences. Research limitations/implications: Being exploratory in nature, findings cannot be generalised. Further studies are required to confirm the preliminary model and to evaluate the validity and significance of proposed relationships. Practical implications: Findings suggest a producer could benefit from marketing a range of sparkling wines to cater to different tastes, occasions and gift purchases. Findings also confirm the importance of marketers pursuing opportunities to obtain and promote favourable expert reviews for their sparkling wines, and of identifying and promoting regional distinctiveness. Originality/value: The first comprehensive model of sparkling wine consumers’ purchasing preferences has been developed. Empirical testing would enable refinement and enhance understanding. © 2017, © Emerald Publishing Limited.",Australia; Consumer behaviour; Psychometric/qualitative; Survey research; Wines,Emerald Group Publishing Ltd.,scopus-recommendation,35,Feeling AI,"['personal taste', 'brand image', 'reputation', 'consumption occasion', 'gift purchases', 'expert reviews', 'customer preferences']","The abstract discusses various factors influencing purchasing preferences for sparkling wine, which includes understanding customer emotional needs and preferences such as personal taste, brand image, and the significance of the consumption occasion. These factors relate closely to customer understanding and positioning, which are key aspects of Feeling AI. The mention of gift purchases also ties into emotional engagement with customers. While there are elements that could relate to Mechanical or Thinking AI, the predominant focus on emotional and personal factors aligns it more closely with Feeling AI.",70%,10%,20%,0%,0%,"[2017, 2019)",Consumer behaviour
Attitude toward smoking: The effect of negative smoking-related pictures,Grigaliunaite V.; Pileliene L.,2017,10.24136/oc.v8i2.20,"Research background: Endeavouring to develop healthy societies is a primary goal in many countries. As smoking is a major problem of public health, lowering the extent of smoking is one of the conditions for developing a healthy society. Based on the research revealing that the pairing of the product with negative stimuli enhances the possibility of negative reaction to the product as negative stimulus transfers it's meaning to the product, tobacco packaging was labelled with negative smoking-related pictures illustrating the danger of smoking. Nevertheless, the extent of smoking is still large in many countries. Hence, the effect of negative smoking-related pictures has been the subject of intense debate within the scientific community. Purpose of the article: The aim of this research is to determine the effect of negative smoking-related pictures on the both implicit and explicit attitude toward smoking. Methods: For the purpose of determining the effect of negative smoking-related pictures on the both implicit and explicit attitude toward smoking, Implicit Association Test and questionnaire survey were provided. The questionnaire was elaborated based on the analysis and synthesis of scientific literature. Findings & Value added: The theoretical analysis substantiated the influence of attitude toward the product on consumer purchase decisions. Nevertheless, people do not always want to reveal their opinion, hence traditional marketing research methods for measuring explicit attitude are not sufficient as they are often not objective. Therefore, neuromarketing research methods complement traditional marketing research methods by providing more objectivity. Consequently, the Implicit Association Test and traditional questionnaire research are applied for the empirical research, revealing the effect of negative smokingrelated pictures on the both implicit and explicit attitude toward smoking. The recommendations for the usage of negative smoking-related pictures on purpose to influence attitude toward smoking and consumer purchase behaviour are substantiated. © 2017 Nicolaus Copernicus University. All rights reserved.",Consumer behaviour; Explicit attitude; Mplicit attitude; Negative pictures; Smoking,Nicolaus Copernicus University,scopus-recommendation,7,Feeling AI,"['negative stimuli', 'attitude', 'consumer purchase decisions', 'implicit and explicit attitude', 'emotional data']","The abstract discusses the impact of negative smoking-related pictures on attitudes toward smoking, which relates directly to understanding customer emotions and attitudes. The research aims to measure implicit and explicit attitudes, indicating a focus on emotional responses and customer understanding. Thus, it aligns with the objectives related to customer understanding and emotional needs, fitting well within the Feeling AI category.",70%,0%,30%,0%,0%,"[2017, 2019)",Consumer behaviour
"Mobile shopping behaviour: Insights into attitudes, shopping process involvement and location",Holmes A.; Byrne A.; Rowley J.,2014,10.1108/IJRDM-10-2012-0096,"Purpose: Although there is evidence that adoption of mobile shopping has been slow, the increased functionality offered by smart phones offers significant potential for the development of marketing and retailing through the mobile channel. The purpose of this paper is to add to knowledge on consumer shopping behaviour through mobile devices by exploring attitudes to the use of mobiles in shopping, the use of mobile phones at different stages in the consumer decision-making process, the impact of involvement on the mobile consumer decision-making process and mobile shopping location. Design/methodology/approach: An online panel survey was conducted with a UK panel of nationally representative consumers. The survey collected data in respect of the following products that were ranked on level of involvement on the basis of the importance and effort consumers' associated with their purchase: bread (lowest), washing powder, DVD, footwear, phone and TV (highest). Findings: Use of mobiles for shopping is significant, but remains lower than use of computers in shopping. In general, respondents were more positive regarding their use of computer shopping than they were in relation to their use of a mobile. In using their mobile phone in shopping, respondents value its convenience and accessibility. There is higher use of the mobile phone in the information search and consideration of alternatives phases, than in the purchase transaction. The extent of use of mobile devices in the decision-making process is higher with higher involvement products, in relation to all stages in the decision-making process. The most frequent location for the use of their mobile in shopping is at home, which is consistent with the finding that the highest level of use of mobiles occurs in the information search and consideration of alternatives phases. Recommendations are offered for retailers and for further research. Originality/value: This is the first research to explore the use of mobile phones in different stages in the consumer-decision-making process across a number of product categories. © Emerald Group Publishing Limited.",Consumer behaviour; Consumer decision making; Involvement; Mobile shopping; Smart phones,,scopus-recommendation,129,Feeling AI,"['consumer shopping behaviour', 'attitudes', 'decision-making process', 'involvement', 'convenience', 'accessibility']","The abstract explores consumer attitudes and behaviors in mobile shopping, focusing on how emotional aspects like convenience and accessibility influence their decision-making process. It emphasizes understanding customer needs during different stages of shopping, aligning well with the objectives of Feeling AI, which aims to understand and meet customer emotional needs and wants.",70%,10%,20%,0%,0%,"[2013, 2015)",Consumer behaviour
The effects of blogger recommendations on customers' online shopping intentions,Hsu C.-L.; Lin J.C.-C.; Chiang H.-S.,2013,10.1108/10662241311295782,"Purpose: Blogging has become part of a consumer's decision making process when shopping online; however, the understanding of blog recommendation's effect on consumer purchase decision is still vague. The purpose of this study is to examine whether the blog reader's trusting belief in the blogger is significant in relation to the perceived usefulness of the blogger's recommendations; and how the blog reader's perceptions influence his/her attitude and purchasing behavior online. The moderating effect of blogger's reputation on readers' purchasing intentions is also tested. Design/methodology/approach: Based on various theories, a model was proposed in this study. A survey involving 327 blog readers as participants was analyzed in the empirical study to investigate whether the usefulness of bloggers' recommendations and trusting beliefs toward blogger had influence on consumers' attitudes and behavioral intentions toward online shopping. Findings: The results indicated that perceived usefulness of bloggers' recommendations and trust had significant influential effect on blog users' attitude towards and intention to shop online. Moreover, the findings showed that different determinants affected the users of perceived-high-reputation and perceived-low-reputation blogs. Originality/value: The findings suggest bloggers' electronic word-of-mouth (eWOM) to be a promising marketing strategy for increasing sales. The marketers should provide free trial products and services to the perceived-high-reputation bloggers who, as valued opinion leaders, will influence and prompt others to shop online through a trusting effect. As for perceived-low-reputation bloggers, the marketing strategists should strive to emphasize the usefulness of products and services being marketed, so these perceived-low-reputation bloggers can focus more on describing the advantages and benefits of products or services discussed in their blogs. © Emerald Group Publishing Limited.",Blogging; Blogs; Consumer behaviour; Electronic commerce; Online shopping; Recommendations; Reputation; Trust,,scopus-recommendation,268,Feeling AI,"['trust', 'attitude', 'purchasing behavior', 'perceived usefulness', ""blogger's reputation""]","The abstract focuses on the emotional and relational aspects of consumer behavior influenced by bloggers' recommendations. It highlights the importance of trust and perceived usefulness in shaping consumers' attitudes and purchasing decisions, which aligns with the objectives of Feeling AI to understand customer emotional needs and tailor experiences. The findings suggest a significant emotional engagement with the content provided by bloggers, particularly regarding their reputation, which further emphasizes the emotional connection in consumer decision-making.",60%,10%,30%,0%,0%,"[2013, 2015)",Consumer behaviour
